repo	module_scope	board_files	name_groups	guess	pooled_verdict	counted_files	superseded
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten	32	30	mixed:revisions+collection	both	ARboard.brd, ARboard.brd, AllOfTheAbove.brd, AllOfTheAbove7x.brd, AllOfTheAbove7x13nov.brd, AllOfTheAbove7x14nov.brd, AllOfTheAbove7x14novTRIMS.brd, AllOfTheAbove7x14nov_stijnrouting.brd, AllOfTheAbove7x14nov_v9fixed.brd, AllOfTheAbove7x_10nov.brd, AllOfTheAbove7x_12nov.brd, AllOfTheAbove7x_5nov.brd, AllOfTheAbove7x_5nov2.brd, AllOfTheAbove7x_5nov3.brd, AllOfTheAbove7x_5nov3_v9fixed.brd, AllOfTheAbove7x_9nov.brd, AllOfTheAbove7x_Edits.brd, AllOfTheAbove_16nov.brd, AllOfTheAbove_17nov.brd, AllOfTheAbove_17nov_v9fixed.brd, RoversGitaarReverb.brd, stm32_01.brd, stm32_02 - Stijn.brd, stm32_02.brd, stm32_02.brd, stm32_03.2.brd, stm32_03.brd, StomDemoboard.brd, StompBoard.brd, TiNRS&Navenant-Overstuurd - ZoalsBesteld.brd, TiNRS&Navenant-Overstuurd versie 1.brd, TiNRS&Navenant-Overstuurd.brd	
508-loop-detected/burst	.	4	2	mixed:revisions+sub-boards	SMD	fixed-BOM_PCB_burst-back-v1.0_2022-12-26.csv, fixed-BOM_PCB_burst-front-v1.0_2022-12-26.csv	BOM_PCB_burst-back-v1.0_2022-12-26.csv, BOM_PCB_burst-front-v1.0_2022-12-26.csv
508-loop-detected/minibounce	.	6	3	mixed:revisions+sub-boards	SMD	fixed-BOM_bounce-mini-back-1_2021-10-07.csv, fixed-BOM_bounce-mini-daughtercard_2021-10-07.csv, fixed-BOM_bounce-mini-io_2021-10-07.csv	BOM_bounce-mini-back-1_2021-10-07.csv, BOM_bounce-mini-daughtercard_2021-10-07.csv, BOM_bounce-mini-io_2021-10-07.csv
508-loop-detected/quant	.	5	2	mixed:revisions+sub-boards	SMD	fixed-BOM_PCB_circuitpython-quantizer-main-new-w-rp2040-v2_2024-01-04.csv, fixed-BOM_circuitpython-quantizer-io-v2.1_2024-02-04.csv	BOM_PCB_circuitpython-quantizer-main-new-w-rp2040-v2_2024-01-04.csv, BOM_circuitpython-quantizer-io-v2.1_2024-02-04.csv, BOM_circuitpython-quantizer-io-v2_2024-01-11.csv
FuturePresentLabs/mia-eurorack	shelves/hardware_design	3	2	mixed:revisions+sub-boards	SMD	shelves_expander_v10.brd, shelves_v60.brd	shelves_v05.brd
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test	6	5	mixed:revisions+sub-boards	both	stm32_01.brd, stm32_02 - Stijn.brd, stm32_02.brd, stm32_02.brd, stm32_03.2.brd, stm32_03.brd	
benjiaomodular/MiniSNH	MiniSNH v1.0	3	2	mixed:revisions+sub-boards	SMD	MiniAttenuMix.kicad_pcb, MiniSNH v1.0.kicad_pcb, MiniSNH v1.0.kicad_pcb	
benjiaomodular/MiniSNH	MiniSNH v1.1	4	3	mixed:revisions+sub-boards	SMD	MiniSNH v1.1 - Front.kicad_pcb, MiniSNH v1.1 - Main.kicad_pcb, MiniSNH v1.0.kicad_pcb, MiniSNH.kicad_pcb	
hallmar/Eurorack-Modules	Fjöl-v0.6/Hardware	13	2	mixed:revisions+sub-boards	SMD	fjol 2.kicad_pcb, fjol 3.kicad_pcb, fjol(1).kicad_pcb, fjol.kicad_pcb, frontpanel(1).kicad_pcb, fjol.kicad_pcb, frontpanel(1).kicad_pcb, frontpanel(1).kicad_pcb, frontpanel(1).kicad_pcb, frontpanel(1).kicad_pcb, frontpanel(1).kicad_pcb, frontpanel(1).kicad_pcb, fjol-top.kicad_pcb	
microresearch/allcolours	SR_segments	5	2	mixed:revisions+sub-boards	SMD	segments.kicad_pcb, segments_for_panelNEWEST.kicad_pcb, segments_liningup.kicad_pcb, segments_panel.kicad_pcb, segments.kicad_pcb	
